User,Global Display Name,ID,Nickname,Roles
Memberlist2.0,,1377693069264031834,,Memberlist2.0
fleshloaf_78269,fleshloaf,1362482108190425250,fxck osrs,Clan Member
ryker048,04-8,1357022117681430821,04-8,Clan Member
viking240702,Aqua angler,1291523917634076713,Aqua Angler,Clan Member
jennay_37286,Jennay,1289783520016859218,Jenna1115,Clan Member
aderov_97318,AderoV,1279394203528593438,,Clan Member
harry_619,Harry,1249172519441928247,RNGesus pro,Clan Member
jonathanhower,Jonathan Hower,1212218077899395103,Sea of Boats,Clan Member
molais.anti,Jj,1183207805876965436,RaysCyste,Clan Member
hielke25,hielke,1179830788078968893,runeashes814,Clan Member
zip1998_98589,Zip1998@#,1135871698894340097,Zip74,Clan Member
kitty.katrix,Kate,1132515468465426573,K x T / UIM K x T,"Clan Member, Admin"
hazardd17,Hazardd17,1115735091700826112,,Clan Member
.slimysteak,yetarnished,1113804710504321136,yetarnished,Clan Member
lionfish26.,Lionfish26,1096222230297464862,,"Clan Member, Event Coordinator"
gonerogue7073,gaveherthe2h,1084860954518487040,gaveherthe2h,Clan Member
sleekz0317,Sleekzy,1052907940023123988,,Clan Member
jughead_iii,Jughead III,1024431692750004245,DavidTennant,Clan Member
shqueesh,Adiyama,976525380389330974,Adiyama,Clan Member
adamhoriuchi,Flexxitr0n,912590456926371922,Flexitr0n,Clan Member
mrshinyred420,Mr Shiny Red,888345948110090240,,Clan Guest
jbyw.,jbyw,839005013837611081,,Clan Member
longjohndick_weed,reeeeeeeeeeeeeeeeeeee,832408792389386240,Reegarded,Clan Member
.flashball,KabouterHop,798151243830263809,KouterHop,Clan Member
purgatory66,2202,781642656563855380,2202,Clan Member
_sarvo,Sarvo,776139303360397312,Mithod,"Clan Member, Mentor, Event Coordinator"
mph615,MPH,734551508867219507,JJX Duel,Clan Member
bunningsbbq,Bunnings BBQ,693669344571293706,,"Clan Member, Moderator, Admin"
MemberList,,674885857458651161,,MemberList
klutchwhiskey,KlutchWhiskey,665999274689167371,,"Clan Member, Moderator, Admin"
brickedbrian,Shrimp,622914602316988465,Honor Bones (Bug Shots),Clan Member
paxisagod,Pax,606748441665601568,MrFire,Clan Member
yeahmate1958,spiraxx94,590737303731830794,Spiraxx94,Clan Member
saggytithes,saggytithes/oneilldude,585908954362544128,oneilldude/saggytithes,Clan Member
Raid-Helper,,579155972115660803,,Raid-Helper
diredruid,Diredruid,577847167574867968,Diredeath,Clan Member
trav50,trav50,570737938569101338,,Clan Member
upperkut6152,Pus Sea Lips,553986568378122242,Pus Sea Lips,Clan Guest
theoutlawjosey,Josey Wales,541214236299362314,DreamyTug,Clan Member
titlest,Gadwall,514366623247761418,Gadwall,Clan Member
ibwick,iBwick,509503848688386058,Lordosis,Clan Member
.yourmanace,YourManAce,501121497625133058,Allaces16,Clan Member
jammy3542,Jammy3542,474907526488391690,,Clan Member
thegayfarmer,TheGayFarmer,467094041708855296,,"Clan Member, Moderator, Admin"
yung_yames,Yung_Yames,454184256298811413,,Clan Member
EasyPoll,,437618149505105920,,EasyPoll
itoolazy,iToo Lazy,423715539139952640,,"Clan Member, Moderator"
buzzlite,CyrilFiggis,420760665133678592,KeanuReeves,Clan Member
_almostepic,-Almost Epic,411901747989053444,-Epic OSRS,Clan Member
xioncunt,'Xion,392248587381243906,Xion DontDie,Clan Member
hamborgors,Yngvarr,385223480955633675,Frog Warfare,Clan Member
mesocortical,mesocortical,384822644106854400,Sniithy,Clan Member
1nonlybauss,Bauss,381002977260994560,xBAUSSx,Clan Member
endgame_operator,EndGame Operator,372877878871719948,,Clan Member
scottiemac_,,364861187315335179,Joint Ripper,Clan Member
arealmrclutch,Mr Clutch(y),359504180282523648,,"Clan Member, Moderator, Admin"
zuckaborg,Suplexed,357790918549700609,Suplexed,Clan Member
dekorah,Dekorah,342501205433384962,IPisces,Clan Member
gluebag_,,337040071624491019,HC Bishy,Clan Member
dskid5105,DSKid,336525290928996352,The Deadshot,"Clan Member, Moderator"
679alex,679alex,332987899941355531,Hairy Smegma,Clan Member
juanma7465,,332738988567691264,Juanma99,Clan Member
artsi5737,artsi,318066383089041408,Vippaa20e,"Clan Member, Event Coordinator"
